id,title,type,score,status,volumes,chapters,synopsis,picture_url,web_url,title_english
13,Monster,manga,9.1,finished,18,162,"Kenzou Tenma, a renowned Japanese neurosurgeon working in post-war Germany, faces a difficult choice: to operate on Johan Liebert, an orphan boy on the verge of death, or on the mayor of DÃ¼sseldorf. In the end, Tenma decides to gamble his reputation by saving Johan, effectively leaving the mayor for dead.

As a consequence of his actions, hospital director Heinemann strips Tenma of his position, and Heinemann's daughter Eva breaks off their engagement. Disgraced and shunned by his colleagues, Tenma loses all hope of a successful careerâ€”that is, until the mysterious killing of Heinemann gives him another chance.

Nine years later, Tenma is the head of the surgical department and close to becoming the director himself. Although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout Germany. The culprit is a monsterâ€”the same one that Tenma saved on that fateful day nine years ago.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/258224l.jpg,https://myanimelist.net/manga/1/Monster,Monster
14,One Punch-Man,manga,8.74,currently_publishing,,,"After rigorously training for three years, the ordinary Saitama has gained immense strength which allows him to take out anyone and anything with just one punch. He decides to put his new skill to good use by becoming a hero. However, he quickly becomes bored with easily defeating monsters, and wants someone to give him a challenge to bring back the spark of being a hero.

Upon bearing witness to Saitama's amazing power, Genos, a cyborg, is determined to become Saitama's apprentice. During this time, Saitama realizes he is neither getting the recognition that he deserves nor known by the people due to him not being a part of the Hero Association. Wanting to boost his reputation, Saitama decides to have Genos register with him, in exchange for taking him in as a pupil. Together, the two begin working their way up toward becoming true heroes, hoping to find strong enemies and earn respect in the process.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/80661l.jpg,https://myanimelist.net/manga/44347/One_Punch-Man,One-Punch Man
15,Solo Leveling,manhwa,8.72,finished,,180,"Ten years ago, ""the Gate"" appeared and connected the real world with the realm of magic and monsters. To combat these vile beasts, ordinary people received superhuman powers and became known as ""Hunters."" Twenty-year-old Sung Jin-Woo is one such Hunter, but he is known as the ""World's Weakest,"" owing to his pathetic power compared to even a measly E-Rank. Still, he hunts monsters tirelessly in low-rank Gates to pay for his mother's medical bills. 

However, this miserable lifestyle changes when Jin-Wooâ€”believing himself to be the only one left to die in a mission gone terribly wrongâ€”awakens in a hospital three days later to find a mysterious screen floating in front of him. This ""Quest Log"" demands that Jin-Woo completes an unrealistic and intense training program, or face an appropriate penalty. Initially reluctant to comply because of the quest's rigor, Jin-Woo soon finds that it may just transform him into one of the world's most fearsome Hunters. 

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/222295l.jpg,https://myanimelist.net/manga/121496/Solo_Leveling,Solo Leveling
16,Death Note,manga,8.7,finished,12,108,"Ryuk, a god of death, drops his Death Note into the human world for personal pleasure. In Japan, prodigious high school student Light Yagami stumbles upon it. Inside the notebook, he finds a chilling message: those whose names are written in it shall die. Its nonsensical nature amuses Light; but when he tests its power by writing the name of a criminal in it, they suddenly meet their demise. 

Realizing the Death Note's vast potential, Light commences a series of nefarious murders under the pseudonym ""Kira,"" vowing to cleanse the world of corrupt individuals and create a perfect society where crime ceases to exist. However, the police quickly catch on, and they enlist the help of Lâ€”a mastermind detectiveâ€”to uncover the culprit.

Death Note tells the thrilling tale of Light and L as they clash in a great battle-of-minds, one that will determine the future of the world.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/1/258245l.jpg,https://myanimelist.net/manga/21/Death_Note,Death Note
17,Haikyuu!!,manga,8.84,finished,45,407,"The whistle blows. The ball is up. A dig. A set. A spike.

Volleyball. A sport where two teams face off, separated by a formidable, wall-like net.

The ""Little Giant,"" standing at only 170 cm, overcomes the towering net and the wall of blockers. The awe-inspired Shouyou Hinata looks on at the ace's crow-like figure. Determined to reach great heights like the Little Giant, small-statured Hinata finally manages to form a team in his last year of junior high school, and enters his first volleyball tournament. However, his team is utterly defeated in their first game against the powerhouse school Kitagawa Daiichi, led by the genius, but oppressive setter dubbed the ""King of the Court,"" Tobio Kageyama.

Hinata enrolls into Karasuno High School seeking  to take revenge against Kageyama in an official high school match and to follow in the Little Giant's footstepsâ€”but his plans are ruined when he opens the gymnasium door to find Kageyama as one of his teammates.

Now, Hinata must establish himself on the team and work alongside the problematic Kageyama to overcome his shortcomings and to fulfill his dream of making it to the top of the high school volleyball world.

[Written by MAL Rewrite]

Included one-shot:
Volume 14: Nisekyuu!!",https://cdn.myanimelist.net/images/manga/2/258225l.jpg,https://myanimelist.net/manga/35243/Haikyuu,Haikyu!!
18,20th Century Boys,manga,8.94,finished,22,249,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better.

Kenji Endo is a normal convenience store manager who's just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide, and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something isn't right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would beâ€”not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop.

Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/5/260006l.jpg,https://myanimelist.net/manga/3/20th_Century_Boys,20th Century Boys
19,Slam Dunk,manga,9.06,finished,31,276,"Hanamichi Sakuragi, a tall, boisterous teenager with flame-red hair and physical strength beyond his years, is eager to put an end to his rejection streak of 50 and finally score a girlfriend as he begins his first year of Shohoku High. However, his reputation for delinquency and destructiveness precedes him, and most of his fellow students subsequently avoid him like the plague. As his first day of school ends, he is left with two strong thoughts: ""I hate basketball"" and ""I need a girlfriend.""

Haruko Akagi, ignorant of Hanamichi's history of misbehavior, notices his immense height and unwittingly approaches him, asking whether or not he likes basketball. Overcome by the fact that a girl is speaking to him, the red-haired giant blurts out a yes despite his true feelings. At the gym, Haruko asks if he can do a slam dunk. Though a complete novice, Hanamachi palms the ball and makes the leap...but overshoots, slamming his head into the backboard. Amazed by his near-inhuman physical abilities, Haruko quickly notifies the school's basketball captain of his feat. With this, Hanamichi is unexpectedly thrust into a world of competition for a girl he barely knows, but he soon discovers that there is perhaps more to basketball than he once thought.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/258749l.jpg,https://myanimelist.net/manga/51/Slam_Dunk,Slam Dunk
20,Hunter x Hunter,manga,8.7,on_hiatus,36,390,"""Secret treasure hoards, undiscovered wealth... mystical places, unexplored frontiers... 'The mysterious unknown.' There's magic in such words for those captivated by its spell. They are called 'Hunters'!""

Gon Freecss wants to become a Hunter so he can find his father, a man who abandoned him to pursue a life of adventure. But it's not that simple: only one in one hundred thousand can pass the Hunter Exam, and that is just the first obstacle on his journey. During the Hunter Exam, Gon befriends many other potential Hunters, such as the mysterious Killua; the revenge-driven Kurapika; and Leorio, who aims to become a doctor. There's a world of adventure and peril awaiting, and those who embrace it with open arms can become the greatest Hunters of them all!

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/253119l.jpg,https://myanimelist.net/manga/26/Hunter_x_Hunter,Hunter x Hunter
21,Grand Blue,manga,9.03,currently_publishing,,,"Among the seaside town of Izu's ocean waves and rays of shining sun, Iori Kitahara is just beginning his freshman year at Izu University. As he moves into his uncle's scuba diving shop, Grand Blue, he eagerly anticipates his dream college life, filled with beautiful girls and good friends.

But things don't exactly go according to plan. Upon entering the shop, he encounters a group of rowdy, naked upperclassmen, who immediately coerce him into participating in their alcoholic activities. Though unwilling at first, Iori quickly gives in and becomes the heart and soul of the party. Unfortunately, this earns him the scorn of his cousin, Chisa Kotegawa, who walks in at precisely the wrong time. Undeterred, Iori still vows to realize his ideal college life, but will things go according to plan this time, or will his situation take yet another dive?

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/166124l.jpg,https://myanimelist.net/manga/70345/Grand_Blue,Grand Blue Dreaming
22,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",manga,8.8,finished,3,18,"Helpless and struggling for cash, 20-year-old Kusunoki sells the last of his possessions to buy food. Noticing his poverty, an old shop owner directs him to a store that supposedly purchases lifespan, time, and health. While not completely believing the man's words, Kusunoki nevertheless finds himself at the address out of desperation and curiosity.

Kusunoki is crushed when he finds out the true monetary value of his lifespanâ€”totaling a meager three hundred thousand yen. Deciding to sell the next 30 years of his life for ten thousand yen per year, Kusunoki is left with only three months to live. After heading home with the money, he is greeted by an unexpected visitor: the same store clerk he sold his lifespan to. She introduces herself as Miyagi, the one tasked with the job of observing him until the last three days of his life.

Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de. follows the remaining three months of Kusunoki's life as he confronts lingering regrets from the past and discovers what truly gives life value.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/5/260043l.jpg,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,I sold my life for ten thousand yen per year.
23,Spy x Family,manga,8.68,currently_publishing,,,"For the agent known as ""Twilight,"" no order is too tall if it is for the sake of peace. Operating as Westalis' master spy, Twilight works tirelessly to prevent extremists from sparking a war with neighboring country Ostania. For his latest mission, he must investigate Ostanian politician Donovan Desmond by infiltrating his son's school: the prestigious Eden Academy. Thus, the agent faces the most difficult task of his career: get married, have a child, and play family.

Twilight, or ""Loid Forger,"" quickly adopts the unassuming orphan Anya to play the role of a six-year-old daughter and prospective Eden Academy student. For a wife, he comes across Yor Briar, an absent-minded office worker who needs a pretend partner of her own to impress her friends. However, Loid is not the only one with a hidden nature. Yor moonlights as the lethal assassin ""Thorn Princess."" For her, marrying Loid creates the perfect cover. Meanwhile, Anya is not the ordinary girl she appears to be; she is an esper, the product of secret experiments that allow her to read minds. Although she uncovers their true identities, Anya is thrilled that her new parents are cool secret agents! She would never tell them, of course. That would ruin the fun.

Under the guise of ""The Forgers,"" the spy, the assassin, and the esper must act as a family while carrying out their own agendas. Although these liars and misfits are only playing parts, they soon find that family is about far more than blood relations.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/219741l.jpg,https://myanimelist.net/manga/119161/Spy_x_Family,Spy x Family
24,Shingeki no Kyojin,manga,8.57,finished,34,141,"Hundreds of years ago, horrifying creatures which resembled humans appeared. These mindless, towering giants, called ""Titans,"" proved to be an existential threat, as they preyed on whatever humans they could find in order to satisfy a seemingly unending appetite. Unable to effectively combat the Titans, mankind was forced to barricade themselves within large walls surrounding what may very well be humanity's last safe haven in the world.

In the present day, life within the walls has finally found peace, since the residents have not dealt with Titans for many years. Eren Yeager, Mikasa Ackerman, and Armin Arlert are three young children who dream of experiencing all that the world has to offer, having grown up hearing stories of the wonders beyond the walls. But when the state of tranquility is suddenly shattered by the attack of a massive 60-meter Titan, they quickly learn just how cruel the world can be. On that day, Eren makes a promise to himself that he will do whatever it takes to eradicate every single Titan off the face of the Earth, with the hope that one day, humanity will once again be able to live outside the walls without fear.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/37846l.jpg,https://myanimelist.net/manga/23390/Shingeki_no_Kyojin,Attack on Titan
25,GTO,manga,8.89,finished,25,208,"22-year-old Eikichi Onizuka: pervert, former gang member... and teacher?

Great Teacher Onizuka follows the incredible, though often ridiculous, antics of the titular teacher as he attempts to outwit and win over the cunning Class 3-4 that is determined to have him removed from the school. However, other obstacles present themselves throughoutâ€”including the frustrated, balding vice principal, Hiroshi Uchiyamada; old enemies from his biker days; and his own idiotic teaching methods. But Eikichi fights it all whilst trying to help his students, romance fellow teacher Azusa Fuyutsuki, and earn his self-proclaimed title.

[Written by MAL Rewrite]

Also contains the gaiden ""GTO: Great Toroko Oppaiâ™¡"" (Tomoko's Big Adventures).",https://cdn.myanimelist.net/images/manga/2/172982l.jpg,https://myanimelist.net/manga/336/GTO,GTO: Great Teacher Onizuka
26,Kingdom,manga,8.98,currently_publishing,,,"During the Warring States period in China, Xin and Piao are two brother-like youngsters who dream of becoming Great Generals, despite their low status as orphaned slaves. One day, they encounter a man of nobility, who gives Piao an opportunity to undertake an important duty within the state of Qin's royal palace. Parting ways, Xin and Piao promise each other to one day become the greatest generals in the world. However, after a fierce coup d'Ã©tat occurs in the palace, Xin meets with a dying Piao, whose last words spur him into action and lead him to encounter the young and soon-to-be king of Qin, Zheng Ying.

Although initially on bad terms, Xin and Zheng become comrades and start on a path filled with trials and bloodshed. Zheng's objective is to bring all the warring states under Qin, and Xin seeks to climb to the very top of the army ranks. Against a backdrop of constant tactical battle between states and great political unrest, both outside and within the palace, the two endeavor towards their monumental ambitions that will change history forever.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/171872l.jpg,https://myanimelist.net/manga/16765/Kingdom,
27,ReLIFE,manga,8.66,finished,15,238,"When the responsibilities of being an adult and the ugly side of corporate bullying betrays one's childhood dreams, many would wish to return to their innocent childhood to relive their life and make the right decisions. Dumbfounded by the offer presented to him, 27-year-old Arata Kaizaki hopes to turn his life around through a once-in-a-lifetime opportunity.

Returning home from his part-time job, Arata is persuaded by Ryou Yoake, an employee of ReLife Research Institute, into participating in an experiment which will help him overcome his difficulties and re-enter corporate life. As part of the ReLife experiment, Arata's physique is reverted to that of a 17-year-old, and all he must do is relive his high school life for one year. Waiting for him at the end of the experiment is a job offer that he has been struggling to get ever since he left his first company.

With few other options, he decides to go along with this plan. However, with adult-like tendencies and many years since his last formal education, Arata steps into an unexpectedly challenging territoryâ€”a normal day of high school.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/2/171573l.jpg,https://myanimelist.net/manga/78523/ReLIFE,ReLIFE
28,Yotsuba to!,manga,8.87,currently_publishing,,,"While most people find the world mundane, five-year-old Yotsuba Koiwai sees it as a treasure trove of amazing bustle and wonderful places to explore. When she and her adoptive father, Yousuke, move to a new city, the energetic young girl naturally sets out to investigate the neighborhood on her own.

After a few incidents at the local park, the Koiwais become acquainted with their neighbors, the Ayase family. Their three daughtersâ€”mischievous college student Asagi, responsible high school student Fuuka, and kindhearted grade school student Enaâ€”eventually all take a liking to Yotsuba and join in on her antics, despite their sheer ridicule.

From learning how to use a swing to figuring out how to stop global warming with air conditioners, Yotsuba's ability to infallibly find fun in everything, both amazes and annoys the people around her. Along with Yousuke, the Ayases, and friends she makes along the way, Yotsuba embarks on daily adventures, each one a step in her quest to enjoy the simple things in life.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/5/259524l.jpg,https://myanimelist.net/manga/104/Yotsuba_to,Yotsuba&!
29,Jujutsu Kaisen,manga,8.55,currently_publishing,,,"Hidden in plain sight, an age-old conflict rages on. Supernatural monsters known as ""Curses"" terrorize humanity from the shadows, and powerful humans known as ""Jujutsu"" sorcerers use mystical arts to exterminate them. When high school student Yuuji Itadori finds a dried-up finger of the legendary Curse Sukuna Ryoumen, he suddenly finds himself joining this bloody conflict.

Attacked by a Curse attracted to the finger's power, Yuuji makes a reckless decision to protect himself, gaining the power to combat Curses in the process but also unwittingly unleashing the malicious Sukuna into the world once more. Though Yuuji can control and confine Sukuna to his own body, the Jujutsu world classifies Yuuji as a dangerous, high-level Curse who must be exterminated.

Detained and sentenced to death, Yuuji meets Satoru Gojouâ€”a teacher at Jujutsu High Schoolâ€”who explains that despite his imminent execution, there is an alternative for him. Being a rare vessel to Sukuna, if Yuuji were to die, then Sukuna would perish too. Therefore, if Yuuji were to consume the many other remnants of Sukuna, then Yuuji's subsequent execution would truly eradicate the malicious demon. Taking up this chance to make the world safer and live his life for a little longer, Yuuji enrolls in Jujutsu High, jumping headfirst into a harsh and unforgiving battlefield.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/210341l.jpg,https://myanimelist.net/manga/113138/Jujutsu_Kaisen,Jujutsu Kaisen
30,Tokyo Ghoul,manga,8.52,finished,14,144,"Lurking within the shadows of Tokyo are frightening beings known as ""ghouls,"" who satisfy their hunger by feeding on humans once night falls. An organization known as the Commission of Counter Ghoul (CCG) has been established in response to the constant attacks on citizens and as a means of purging these creatures. However, the problem lies in identifying ghouls as they disguise themselves as humans, living amongst the masses so that hunting prey will be easier. Ken Kaneki, an unsuspecting university freshman, finds himself caught in a world between humans and ghouls when his date turns out to be a ghoul after his flesh.

Barely surviving this encounter after being taken to a hospital, he discovers that he has turned into a half-ghoul as a result of the surgery he received. Unable to satisfy his intense craving for human meat through conventional means, Kaneki is taken in by friendly ghouls who run a coffee shop in order to help him with his transition. As he begins what he thinks will be a peaceful new life, little does he know that he is about to find himself at the center of a war between his new comrades and the forces of the CCG, and that his new existence has caught the attention of ghouls all over Tokyo.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/114037l.jpg,https://myanimelist.net/manga/33327/Tokyo_Ghoul,Tokyo Ghoul
31,Akatsuki no Yona,manga,8.83,currently_publishing,,,"Once upon a time, the kingdom of Kouka was ruled by a red dragon in human form. By his side, four warriors imbued with dragon blood helped him lead the kingdom to prosperity. Time passed, and this tale became a legend to tell children.

As the sole princess of Kouka, Yona lives a life of lavish ease. In love with her cousin, Su-won, and protected by her bodyguard, Son Hak, she wants for nothing and remains sheltered from the harrowing reality outside the castle walls. Contrary to this peaceful illusion, Kouka is about to undergo a political upheaval. After her beloved Su-won stages a bloody coup and murders her father, Yona is forced to flee with only Hak by her side.

Though surrounded by enemies on all sides, the banished princess still yearns to save her kingdom. Her solution comes from an exiled priest, who tells her that her only hope is to find the four legendary dragon warriors. Guided by this seemingly fictitious myth, Yona sets out to find these warriors, determined to restore her kingdom.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/153249l.jpg,https://myanimelist.net/manga/21525/Akatsuki_no_Yona,Yona of the Dawn
32,Made in Abyss,manga,8.78,currently_publishing,,,"The Abyss, a hole of unprecedented depthâ€”one young girl and a robot brave its dangers to find the truth.

The town of Orth is a special one, as it is built around the edges of the massive Abyss, a wonder which has never been fully explored. Those who venture too far down never return, but those brave enough to traverse its territories are known as ""Cave Raiders"" and are heralded as legends. Within this town lives a young girl called Riko, the child of one of the most famous Cave Raiders of all time who disappeared on an expedition many years ago.

One day, Riko's life changes when she meets a strange robot called Reg, who seems to appear from within the Abyss. Believing this to be a sign from her mother stuck at the bottom of the Abyss, Riko descends into its depths with Reg, ready to confront all the dangers within it.

[Written by MAL Rewrite]",https://cdn.myanimelist.net/images/manga/3/161645l.jpg,https://myanimelist.net/manga/91941/Made_in_Abyss,Made in Abyss
